Sport,Gender,Event,Medal,Team
Gymnastics,M,Team All-Around,GOLD,United States
Gymnastics,M,Team All-Around,GOLD,Austria
Gymnastics,M,Team All-Around,SILVER,United States
Gymnastics,M,Team All-Around,BRONZE,United States
Gymnastics,M,Horse Vault,GOLD,United States
Gymnastics,M,Horse Vault,BRONZE,United States
Gymnastics,M,Parallel Bars,GOLD,United States
Gymnastics,M,Parallel Bars,SILVER,United States
Gymnastics,M,Parallel Bars,BRONZE,United States
Gymnastics,M,Horizontal Bar,GOLD,United States
Gymnastics,M,Horizontal Bar,BRONZE,United States
Gymnastics,M,Rings,GOLD,United States
Gymnastics,M,Rings,SILVER,United States
Gymnastics,M,Rings,BRONZE,United States
Gymnastics,M,Rope climbing,GOLD,United States
Gymnastics,M,Rope climbing,SILVER,United States
Gymnastics,M,Rope climbing,BRONZE,United States
Gymnastics,M,Club Swinging,GOLD,United States
Gymnastics,M,Club Swinging,SILVER,United States
Gymnastics,M,Club Swinging,BRONZE,United States
Gymnastics,M,Pommelled Horse,GOLD,United States
Gymnastics,M,Pommelled Horse,SILVER,United States
Gymnastics,M,Pommelled Horse,BRONZE,United States
Lacrosse,M,Lacrosse,GOLD,Canada
Lacrosse,M,Lacrosse,SILVER,United States
Lacrosse,M,Lacrosse,BRONZE,Canada
Roque,M,Roque,GOLD,United States
Roque,M,Roque,SILVER,United States
Roque,M,Roque,BRONZE,United States
Rowing,M,Single Sculls,GOLD,United States
Rowing,M,Single Sculls,SILVER,United States
Rowing,M,Single Sculls,BRONZE,United States
Rowing,M,Double Sculls,GOLD,United States
Rowing,M,Double Sculls,SILVER,United States
Rowing,M,Double Sculls,BRONZE,United States
Rowing,M,Coxless Pairs,GOLD,United States
Rowing,M,Coxless Pairs,SILVER,United States
Rowing,M,Coxless Pairs,BRONZE,United States
Rowing,M,Coxless Fours,GOLD,United States
