Sport,Gender,Event,Athlete,Medal,Team
Athletics,M,Triple Jump,James Connolly,SILVER,United States
,,,,,
Athletics,M,Triple Jump,Lewis Sheldon,BRONZE,United States
,,,,,
Athletics,M,Standing Triple Jump,Ray Ewry,GOLD,United States
,,,,,
Athletics,M,Standing Triple Jump,Irving Baxter,SILVER,United States
,,,,,
Athletics,M,Standing Triple Jump,Bob Garrett,BRONZE,United States
,,,,,
Athletics,M,Discus Throw,Rezsö Bauer,GOLD,Hungary
,,,,,
Athletics,M,Discus Throw,Frantisek Janda-Suk,SILVER,Bohemia
,,,,,
Athletics,M,Discus Throw,Richard Sheldon,BRONZE,United States
,,,,,
Athletics,M,Hammer Throw,John Flanagan,GOLD,United States
,,,,,
Athletics,M,Hammer Throw,Thomas Hare,SILVER,United States
,,,,,
Athletics,M,Hammer Throw,Josiah McCracken,BRONZE,United States
,,,,,
Athletics,M,Shot Put,Richard Sheldon,GOLD,United States
,,,,,
Athletics,M,Shot Put,Josiah McCracken,SILVER,United States
,,,,,
Athletics,M,Shot Put,Bob Garrett,BRONZE,United States
,,,,,
Cricket,M,Cricket,John Symes,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,Alfred Powlesland,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,Arthur Birkett,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,Charles Beachcroft,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,Alfred Bowerman,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,George Buckley,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,Francis Burchell,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,Fred Christian,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,Harry Corner,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,Frederick Cuming,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,William Donne,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,Montague Toller,GOLD,Great Britain
,,,,,
Cricket,M,Cricket,Philip H Tomalin,SILVER,France
,,,,,
Cricket,M,Cricket,Douglas Robinson,SILVER,France
,,,,,
Cricket,M,Cricket,F Roques,SILVER,France
,,,,,
Cricket,M,Cricket,A J Schneidau,SILVER,Great Britain
,,,,,
Cricket,M,Cricket,Henry Terry,SILVER,Great Britain
,,,,,
Cricket,M,Cricket,Arthur MacEvoy,SILVER,Great Britain
,,,,,
Cricket,M,Cricket,William T Attrill,SILVER,France
,,,,,
Cricket,M,Cricket,William Anderson,SILVER,Great Britain
,,,,,
Cricket,M,Cricket,J Braid,SILVER,Great Britain
,,,,,
Cricket,M,Cricket,W Browning,SILVER,Great Britain
,,,,,
Cricket,M,Cricket,Robert Horne,SILVER,Great Britain
,,,,,
